income,expenses,loanamount,term_years,loan_approved
62000,20000,134000,5,0
101000,65000,264000,10,0
81000,45500,55000,20,0
38000,14000,147000,30,0
80000,46000,172000,30,0
87000,44000,279000,20,0
48000,21500,111000,5,0
80000,32000,280000,10,0
77000,37500,209000,15,0
41000,16000,67000,30,0
86000,28500,193000,20,0
92000,58500,301000,5,0
107000,57500,154000,15,0
107000,47500,348000,15,0
34000,16500,101000,10,0
47000,30500,25000,15,0
90000,38500,318000,30,0
90000,40500,209000,5,0
90000,54500,337000,5,0
191000,72500,103000,30,1
92000,52000,323000,10,0
109000,51500,348000,20,0
104000,52000,293000,10,0
95000,58500,246000,10,0
66000,46000,171000,15,0
98000,62000,337000,10,0
52000,19000,207000,5,0
68000,26500,144000,20,0
60000,28000,149000,10,0
77000,45500,87000,30,0
144000,72500,270000,20,0
20000,13000,22000,15,0
96000,30500,52000,5,0
27000,11000,82000,20,0
61000,23500,96000,30,1
108000,64500,383000,10,0
77000,37500,171000,30,0
43000,13000,143000,5,0
54000,33000,107000,20,0
95000,42000,324000,30,0
53000,21500,185000,5,0
81000,30000,173000,20,0
76000,51500,286000,20,0
55000,37000,84000,20,0
139000,46000,251000,30,1
94000,37000,204000,5,0
20000,11000,62000,20,0
81000,46000,154000,15,0
55000,25500,44000,10,0
101000,53500,51000,30,0
51000,29500,181000,15,0
72000,49000,197000,10,0
90000,53000,99000,20,0
101000,35000,369000,30,0
39000,23000,118000,20,0
65000,21500,207000,15,0
61000,30500,126000,10,0
55000,28000,172000,5,0
128000,78000,335000,15,0
87000,26500,267000,20,0
37000,24000,62000,10,0
103000,58500,244000,20,0
139000,43500,87000,30,1
106000,38500,113000,20,1
29000,9000,101000,30,0
60000,36500,168000,5,0
113000,41500,384000,20,0
54000,17000,133000,20,1
88000,31500,177000,20,1
98000,51500,329000,10,0
47000,23500,31000,30,0
73000,29000,212000,5,0
20000,13500,53000,5,0
44000,28000,27000,30,0
67000,28500,112000,10,0
38000,18500,88000,5,0
124000,63000,76000,10,0
32000,19500,50000,5,0
62000,29000,34000,15,0
79000,41000,115000,15,0
118000,55000,463000,10,0
32000,19500,67000,5,0
110000,57500,421000,10,0
75000,47500,249000,20,0
46000,15000,65000,5,0
89000,59000,336000,5,0
81000,51000,126000,15,0
57000,36000,97000,20,0
77000,27500,120000,10,0
63000,25500,129000,15,0
78000,54000,59000,15,0
95000,64500,319000,20,0
123000,48000,97000,5,0
38000,18000,83000,10,0
139000,50500,103000,20,1
20000,8000,56000,30,0
70000,26000,145000,5,0
93000,31000,47000,30,1
83000,44000,167000,15,0
56000,22000,99000,20,0
69000,48000,255000,15,0
60000,30500,156000,30,0
57000,25500,194000,15,0
100000,66500,101000,30,0
86000,47000,81000,15,0
54000,19000,62000,30,1
102000,51000,388000,20,0
84000,40000,71000,10,0
99000,60000,217000,10,0
94000,54500,72000,10,0
50000,22500,158000,10,0
58000,28500,107000,10,0
97000,49000,256000,5,0
93000,43500,70000,15,0
74000,25500,149000,20,1
79000,52500,76000,5,0
113000,64500,185000,15,0
57000,28000,66000,30,0
91000,48000,199000,20,0
69000,26500,250000,30,0
68000,35000,129000,20,0
108000,64500,396000,30,0
100000,51500,321000,20,0
99000,48500,308000,20,0
114000,55500,369000,10,0
76000,46000,227000,15,0
95000,57000,115000,15,0
66000,39500,227000,5,0
85000,34000,154000,10,0
71000,39000,102000,5,0
78000,47500,266000,20,0
93000,49000,247000,5,0
50000,30500,69000,10,0
138000,88500,498000,10,0
45000,16500,107000,10,0
39000,16500,23000,30,1
110000,59500,258000,5,0
99000,41000,380000,10,0
94000,63500,100000,15,0
94000,35500,146000,20,0
75000,33000,97000,10,0
48000,33500,61000,10,0
77000,29000,59000,15,0
55000,26500,117000,10,0
104000,44500,350000,15,0
71000,44500,95000,20,0
50000,21000,149000,30,0
65000,23500,163000,5,0
87000,58500,108000,30,0
58000,25000,145000,15,0
50000,30000,116000,10,0
82000,34000,106000,20,0
82000,30500,46000,20,1
60000,37500,115000,20,0
61000,19500,99000,5,0
82000,35500,122000,5,0
32000,19500,94000,30,0
33000,16500,98000,15,0
53000,30500,198000,30,0
69000,22500,41000,15,1
84000,50500,310000,5,0
119000,44000,340000,5,0
101000,63000,284000,5,0
70000,37000,278000,5,0
74000,44000,57000,10,0
45000,17500,149000,10,0
74000,34000,191000,15,0
66000,41000,70000,30,0
85000,56500,272000,10,0
50000,19500,88000,20,1
91000,56000,126000,30,0
121000,41500,305000,30,0
72000,34000,156000,10,0
87000,59000,91000,15,0
96000,65000,294000,10,0
63000,26500,100000,30,0
82000,31000,182000,20,1
75000,27000,113000,20,1
78000,38500,159000,20,0
52000,17500,71000,30,1
76000,33500,166000,20,0
90000,27500,96000,20,1
119000,48000,177000,5,0
104000,68500,130000,5,0
140000,67000,247000,20,0
52000,17000,177000,10,0
101000,56500,226000,10,0
81000,55500,161000,5,0
141000,68500,353000,15,0
51000,28000,166000,15,0
50000,33500,77000,20,0
57000,26500,189000,10,0
20000,11500,27000,20,0
59000,28000,205000,20,0
52000,35500,178000,10,0
80000,40000,205000,15,0
85000,55500,149000,10,0
131000,66000,255000,30,0
104000,59000,348000,10,0
58000,26500,46000,30,1
48000,32000,156000,10,0
90000,50500,87000,5,0
35000,11000,117000,15,0
130000,40000,475000,5,0
110000,63000,253000,20,0
61000,21000,191000,15,0
24000,14000,29000,10,0
116000,49500,371000,10,0
72000,37000,213000,5,0
112000,41500,101000,30,0
27000,11000,61000,30,0
57000,27000,181000,15,0
75000,42500,62000,20,0
76000,27500,213000,30,1
61000,25000,202000,15,0
94000,36000,162000,20,1
43000,27500,79000,15,0
71000,39500,104000,10,0
79000,38500,91000,20,0
90000,61000,347000,15,0
96000,57000,284000,15,0
41000,27500,28000,10,0
29000,15500,109000,5,0
113000,40000,102000,20,0
85000,48500,317000,10,0
53000,20000,110000,30,0
122000,53500,268000,5,0
78000,39500,186000,10,0
110000,40000,91000,10,0
77000,23500,218000,20,0
137000,59000,382000,15,0
128000,80500,323000,10,0
68000,21000,245000,10,0
104000,36000,226000,30,1
94000,58500,281000,5,0
116000,49000,196000,20,0
46000,31000,172000,15,0
96000,43500,361000,30,0
107000,66000,234000,20,0
22000,9000,68000,15,0
40000,13000,53000,5,0
20000,13000,55000,5,0
67000,45000,53000,10,0
97000,56500,341000,15,0
120000,73000,363000,20,0
77000,23500,296000,5,0
124000,74500,400000,30,0
34000,16500,39000,10,0
24000,11500,51000,5,0
73000,37500,175000,20,0
87000,35500,296000,10,0
74000,43000,180000,20,0
20000,8500,43000,30,0
72000,37500,216000,15,0
36000,13000,99000,20,0
95000,54000,296000,10,0
86000,32500,186000,20,0
47000,17500,143000,30,0
60000,18500,234000,10,0
43000,15000,49000,20,1
73000,28500,50000,5,0
104000,40500,260000,5,0
45000,19500,47000,20,0
90000,29000,97000,10,1
59000,40000,168000,20,0
51000,17500,101000,10,1
72000,42000,44000,20,0
44000,22500,108000,30,0
58000,30000,79000,10,0
39000,13500,79000,20,1
134000,53000,85000,30,1
76000,46500,55000,15,0
54000,26000,63000,10,0
81000,39000,244000,15,0
72000,37500,235000,10,0
68000,32000,116000,20,0
93000,58000,87000,30,0
98000,58500,370000,30,0
59000,25000,192000,5,0
58000,36000,62000,20,0
67000,34000,87000,15,0
20000,11000,13000,20,0
30000,19500,110000,30,0
116000,57000,437000,15,0
124000,74500,98000,20,0
68000,37500,69000,5,0
92000,43500,112000,10,0
84000,51500,95000,5,0
167000,57000,633000,10,0
109000,58000,154000,20,0
71000,22500,129000,15,0
46000,16500,34000,5,0
27000,14500,73000,30,0
81000,34500,116000,10,0
52000,21000,71000,15,1
32000,22000,125000,5,0
56000,25000,36000,20,0
43000,22500,50000,30,0
126000,64500,289000,20,0
101000,33000,249000,10,0
75000,42500,225000,30,0
119000,60000,147000,5,0
77000,35000,145000,15,0
49000,16000,74000,15,1
121000,50500,414000,5,0
91000,59500,160000,20,0
44000,16500,62000,10,0
69000,27000,183000,10,0
49000,18500,43000,20,0
34000,22500,118000,30,0
103000,59500,152000,10,0
132000,86000,447000,10,0
33000,22000,131000,15,0
92000,61500,53000,15,0
55000,27000,64000,5,0
60000,29500,187000,10,0
57000,36000,45000,5,0
49000,21000,101000,30,0
76000,23500,78000,10,1
50000,21500,107000,10,0
83000,48500,45000,20,0
73000,25500,75000,15,1
68000,41500,99000,20,0
48000,30000,57000,5,0
58000,19500,102000,20,1
98000,33000,99000,10,1
90000,34000,304000,5,0
46000,20500,107000,10,0
78000,40000,124000,20,0
98000,48500,150000,20,0
25000,16000,34000,30,0
91000,32500,206000,5,0
55000,32000,130000,15,0
92000,48000,365000,5,0
52000,31000,140000,10,0
21000,9000,50000,5,0
26000,12500,16000,10,0
76000,23500,184000,10,0
83000,29000,185000,5,0
48000,21500,175000,20,0
94000,46500,285000,5,0
25000,8500,54000,30,0
73000,46000,95000,20,0
39000,26500,117000,15,0
55000,29500,83000,15,0
76000,24500,132000,5,0
49000,29000,143000,30,0
63000,24500,100000,5,0
105000,62500,162000,15,0
58000,27500,119000,30,0
100000,32000,282000,15,0
41000,17000,156000,15,0
91000,43000,93000,5,0
118000,70000,163000,15,0
20000,7000,79000,10,0
51000,21000,136000,15,0
92000,30500,49000,20,1
69000,37500,251000,15,0
86000,42000,128000,30,0
57000,38500,138000,30,0
78000,46500,139000,20,0
70000,43000,78000,30,0
110000,40000,287000,20,0
83000,34000,104000,20,0
85000,43000,110000,15,0
63000,19000,208000,30,1
60000,39000,165000,30,0
62000,38000,230000,20,0
87000,28000,177000,10,0
62000,39500,141000,20,0
84000,25500,62000,10,1
137000,47500,241000,20,0
101000,32500,68000,10,1
65000,32000,112000,15,0
111000,68000,214000,10,0
63000,23500,70000,5,0
20000,12000,70000,20,0
45000,17000,76000,20,0
20000,14000,14000,10,0
64000,41000,119000,10,0
76000,45000,184000,15,0
125000,67000,272000,20,0
85000,33500,210000,20,0
68000,23500,244000,30,1
100000,48500,60000,10,0
20000,9000,65000,10,0
82000,46500,149000,30,0
98000,36000,181000,15,1
31000,16500,80000,30,0
109000,63000,281000,10,0
85000,35500,74000,15,0
63000,38500,171000,10,0
94000,44500,105000,20,0
143000,52000,219000,5,0
80000,30000,175000,20,1
82000,33500,233000,30,0
61000,22000,192000,15,0
50000,26500,151000,20,0
100000,68000,232000,15,0
49000,32500,54000,15,0
77000,33000,221000,30,0
61000,39500,239000,30,0
89000,60500,299000,5,0
85000,35500,171000,30,0
106000,70000,223000,30,0
60000,42000,230000,30,0
67000,41500,49000,15,0
46000,21000,118000,5,0
62000,33500,62000,30,0
86000,38500,66000,30,0
98000,68500,147000,5,0
47000,15500,61000,5,0
101000,66500,67000,10,0
116000,38500,404000,5,0
87000,27500,298000,20,0
131000,88500,378000,20,0
52000,33500,166000,5,0
38000,17000,28000,20,0
22000,15000,32000,10,0
120000,77500,308000,15,0
95000,63000,344000,15,0
73000,39500,217000,30,0
83000,56500,47000,15,0
41000,25500,55000,30,0
148000,100000,284000,30,0
79000,32500,211000,30,0
78000,40000,220000,10,0
97000,63000,256000,5,0
89000,47500,67000,10,0
82000,51000,259000,20,0
51000,35000,145000,10,0
89000,55500,111000,5,0
131000,56000,293000,5,0
115000,40000,161000,5,0
123000,50500,357000,30,0
60000,34000,75000,20,0
45000,13500,26000,15,1
71000,26500,143000,30,0
77000,33000,50000,30,0
108000,70000,70000,20,0
24000,7500,28000,10,1
121000,38500,366000,15,0
70000,36500,266000,10,0
62000,23000,142000,15,0
45000,18000,129000,20,0
25000,9500,17000,10,1
100000,53500,327000,15,0
77000,25000,159000,15,0
36000,24500,79000,10,0
36000,12500,119000,5,0
65000,44000,59000,5,0
125000,76500,262000,30,0
67000,42500,160000,10,0
30000,11000,79000,30,1
68000,38500,202000,15,0
67000,42000,181000,5,0
20000,10500,69000,20,0
73000,38000,287000,5,0
68000,24500,38000,15,1
96000,44500,187000,20,0
130000,47000,251000,10,0
109000,75000,341000,5,0
67000,38500,102000,10,0
42000,13500,23000,15,1
152000,74500,116000,20,0
77000,42500,287000,10,0
75000,25500,279000,20,0
74000,42000,103000,5,0
81000,30000,306000,10,0
71000,33000,253000,20,0
58000,32000,169000,10,0
59000,26500,80000,20,0
74000,33500,68000,10,0
59000,37500,64000,15,0
54000,23000,64000,5,0
78000,44000,259000,30,0
67000,43000,109000,5,0
120000,43500,345000,15,0
20000,6500,64000,10,0
108000,68000,218000,20,0
112000,58500,140000,30,0
20000,12500,43000,20,0
65000,25000,63000,15,0
64000,40500,215000,20,0
33000,11000,110000,20,0
52000,34000,196000,20,0
42000,26500,140000,5,0
128000,67500,355000,20,0
103000,56000,188000,20,0
113000,49500,253000,10,0
97000,37000,112000,15,1
41000,20000,117000,10,0
59000,33000,202000,15,0
90000,63000,265000,30,0
38000,24000,146000,15,0
96000,45500,375000,15,0
68000,40500,200000,5,0
64000,22000,199000,30,0
96000,44500,158000,15,0
88000,41500,58000,30,1
64000,45000,224000,15,0
110000,50000,320000,5,0
43000,14500,167000,10,0
93000,30500,47000,15,1
93000,54000,279000,10,0
66000,27500,95000,5,0
85000,55000,175000,20,0
37000,18000,77000,15,0
103000,44500,64000,5,0
69000,41500,240000,20,0
59000,27500,48000,20,0
106000,63000,406000,5,0
54000,31500,135000,5,0
33000,19500,48000,5,0
28000,18000,77000,5,0
93000,59500,348000,20,0
37000,21000,120000,30,0
128000,87500,138000,5,0
20000,6000,32000,30,1
126000,84500,111000,10,0
81000,29000,248000,5,0
72000,27500,87000,15,0
59000,37000,183000,5,0
87000,40000,84000,5,0
74000,35000,235000,10,0
108000,43500,248000,20,0
78000,30500,268000,30,0
80000,27500,185000,10,0
64000,24000,88000,20,1
73000,38500,210000,20,0
84000,49000,130000,5,0
24000,14500,20000,30,0
35000,15500,119000,5,0
97000,65000,296000,20,0
80000,34500,56000,30,1
69000,24000,258000,20,0
76000,51500,92000,10,0
85000,44000,264000,10,0
59000,40500,34000,30,0
52000,24000,113000,10,0
81000,49000,113000,20,0
46000,16000,112000,15,0
87000,56000,126000,10,0
24000,9000,54000,20,1
106000,34500,57000,15,1
89000,30000,327000,10,0
83000,43500,276000,15,0
104000,43500,61000,15,0
125000,85500,494000,5,0
105000,67500,394000,30,0
20000,12500,56000,20,0
37000,23000,70000,20,0
56000,37000,201000,30,0
76000,49000,266000,10,0
91000,61000,180000,5,0
53000,35500,157000,20,0
81000,34000,270000,5,0
52000,20000,175000,10,0
57000,32000,223000,10,0
33000,11500,109000,10,0
47000,18000,115000,10,0
34000,20500,113000,15,0
46000,25500,72000,30,0
107000,60000,146000,5,0
47000,32000,72000,5,0
154000,87500,370000,30,0
90000,42500,230000,10,0
81000,33500,131000,20,0
49000,21500,107000,5,0
96000,39500,242000,5,0
58000,18000,85000,5,0
79000,32000,55000,20,0
152000,96500,132000,15,0
72000,42500,190000,30,0
109000,60000,406000,5,0
54000,35500,111000,15,0
74000,30000,169000,30,0
128000,68000,82000,30,0
56000,17500,215000,30,0
129000,84500,452000,20,0
96000,46000,212000,15,0
58000,21500,208000,15,0
94000,37000,191000,10,0
104000,66500,218000,10,0
94000,32500,272000,10,0
28000,19000,46000,5,0
53000,24000,190000,30,0
68000,27000,85000,20,1
73000,31500,282000,30,0
94000,43500,352000,5,0
80000,41500,137000,10,0
35000,18500,98000,20,0
86000,41000,193000,30,0
93000,44500,237000,5,0
92000,38000,102000,30,1
107000,48500,334000,5,0
100000,48500,229000,5,0
89000,48000,77000,10,0
73000,25500,241000,10,0
25000,15000,91000,30,0
88000,50500,46000,5,0
81000,34000,269000,20,0
83000,40000,206000,5,0
37000,25000,25000,30,0
43000,13500,89000,15,0
107000,67000,209000,20,0
74000,37500,87000,10,0
95000,52000,167000,5,0
76000,43500,172000,15,0
76000,36500,184000,5,0
103000,39000,104000,15,0
60000,40000,153000,20,0
78000,46500,109000,30,0
61000,32000,65000,30,0
62000,29500,103000,10,0
66000,33000,180000,10,0
82000,51500,316000,15,0
61000,18500,207000,15,0
113000,73000,399000,5,0
48000,15500,60000,20,1
69000,37500,146000,20,0
62000,27000,128000,5,0
118000,67500,249000,30,0
81000,27000,97000,5,0
106000,55500,366000,30,0
30000,19500,50000,30,0
83000,41500,179000,10,0
102000,34000,180000,30,1
77000,24500,132000,30,1
107000,58500,283000,20,0
59000,19500,235000,5,0
117000,38500,421000,5,0
144000,67500,540000,10,0
64000,24500,129000,15,0
62000,23500,72000,30,1
119000,58500,65000,5,0
122000,50500,80000,5,0
59000,23000,180000,20,0
62000,31500,110000,15,0
67000,28000,187000,10,0
35000,11500,85000,10,0
47000,27000,185000,15,0
45000,24000,135000,15,0
52000,20000,205000,15,0
74000,39500,115000,20,0
82000,56000,136000,30,0
122000,83500,279000,5,0
45000,23000,101000,15,0
105000,35500,244000,20,0
69000,33500,240000,20,0
74000,23000,222000,30,1
95000,44500,107000,30,1
41000,27000,105000,20,0
86000,42000,96000,15,0
80000,41500,158000,5,0
90000,32500,331000,15,0
84000,25500,64000,20,1
149000,104000,577000,30,0
56000,24500,71000,30,0
59000,24500,66000,10,0
56000,29500,122000,20,0
58000,34500,211000,15,0
56000,22500,65000,20,1
111000,56500,58000,20,0
118000,51000,232000,30,0
58000,28500,145000,15,0
50000,18000,156000,30,0
89000,45000,62000,30,0
58000,18500,135000,15,0
94000,60000,102000,30,0
81000,44500,162000,20,0
30000,20500,117000,30,0
121000,65500,475000,10,0
129000,48000,509000,20,0
57000,28000,101000,20,0
63000,35500,186000,30,0
84000,38000,299000,15,0
85000,44500,193000,30,0
95000,34500,205000,15,0
135000,82500,409000,10,0
70000,46500,158000,20,0
51000,21500,129000,10,0
34000,21000,71000,10,0
53000,18000,162000,15,0
74000,29500,257000,10,0
129000,62500,269000,30,0
59000,27000,131000,10,0
82000,45000,306000,10,0
75000,39500,185000,15,0
111000,37000,240000,30,1
151000,53500,589000,10,0
59000,19000,43000,15,1
60000,41000,161000,10,0
106000,59000,62000,5,0
95000,61000,197000,15,0
130000,67000,213000,15,0
93000,35000,188000,5,0
64000,35000,234000,30,0
93000,46500,212000,10,0
108000,50000,275000,5,0
100000,45000,165000,15,0
90000,50500,355000,10,0
107000,58500,419000,20,0
110000,39500,391000,15,0
116000,72500,346000,5,0
94000,52000,188000,20,0
70000,36000,66000,15,0
79000,47500,291000,5,0
111000,40000,263000,20,0
50000,33500,123000,15,0
86000,35000,74000,20,1
63000,25500,206000,20,0
76000,47500,185000,10,0
113000,49000,159000,15,0
81000,51000,89000,20,0
76000,33000,201000,20,0
34000,17500,120000,10,0
97000,38000,227000,15,0
94000,55500,330000,10,0
140000,51500,162000,5,0
66000,43500,161000,30,0
82000,37000,168000,15,0
82000,40000,134000,10,0
122000,38000,104000,5,0
72000,49500,88000,5,0
83000,52000,300000,30,0
93000,44500,164000,10,0
81000,54000,284000,30,0
62000,41500,208000,10,0
81000,41500,127000,15,0
107000,42000,233000,5,0
44000,22000,92000,30,0
79000,34000,288000,15,0
54000,26000,143000,5,0
111000,74000,225000,20,0
29000,12000,67000,20,0
58000,37000,200000,10,0
86000,58000,136000,5,0
122000,76000,239000,5,0
73000,37500,70000,5,0
58000,30500,144000,20,0
131000,82000,510000,10,0
32000,10000,55000,15,1
20000,12000,76000,15,0
88000,45000,292000,15,0
60000,27500,196000,5,0
44000,26500,136000,30,0
96000,39000,303000,15,0
82000,54000,138000,20,0
58000,33500,198000,20,0
37000,20000,145000,30,0
101000,51500,87000,15,0
95000,36500,90000,10,0
72000,39500,39000,5,0
130000,76500,384000,30,0
43000,13000,32000,10,1
29000,13000,67000,30,0
54000,34000,157000,5,0
74000,41000,191000,30,0
82000,45000,215000,15,0
68000,26500,263000,5,0
86000,47500,134000,5,0
37000,22500,99000,20,0
118000,54500,318000,30,0
73000,27000,107000,15,0
109000,36000,170000,30,1
85000,42500,263000,20,0
89000,51000,143000,20,0
92000,33500,121000,20,1
88000,41000,347000,15,0
94000,49500,78000,15,0
115000,41500,183000,20,1
81000,33000,279000,20,0
96000,52000,116000,15,0
72000,42500,101000,10,0
118000,65500,126000,5,0
55000,32000,140000,30,0
129000,68500,66000,5,0
74000,47000,264000,30,0
32000,20000,58000,30,0
79000,49000,178000,30,0
55000,29000,75000,15,0
100000,70000,65000,30,0
55000,17500,213000,30,0
62000,23500,222000,30,0
20000,12500,29000,10,0
61000,38500,52000,30,0
20000,12500,42000,30,0
27000,17500,66000,30,0
98000,46000,245000,20,0
99000,66500,367000,15,0
88000,34000,251000,15,0
46000,31000,122000,30,0
74000,38500,59000,10,0
75000,27500,175000,10,0
40000,24000,97000,10,0
120000,50000,325000,10,0
101000,39000,107000,20,0
68000,25000,263000,5,0
76000,23500,190000,30,1
81000,49000,159000,20,0
20000,10000,56000,15,0
68000,47000,68000,10,0
55000,26000,111000,20,0
45000,28500,136000,20,0
67000,46000,254000,15,0
129000,40000,266000,15,0
94000,32000,254000,30,1
58000,25500,116000,15,0
92000,59500,215000,10,0
117000,74500,264000,10,0
103000,46000,303000,20,0
77000,29500,215000,10,0
56000,35000,30000,15,0
96000,51500,76000,15,0
87000,27000,275000,10,0
102000,63500,109000,30,0
94000,64000,300000,15,0
106000,33500,356000,5,0
59000,24500,223000,10,0
115000,72000,385000,15,0
81000,43000,192000,5,0
137000,95500,170000,20,0
54000,36000,51000,20,0
127000,47000,452000,5,0
81000,46000,151000,15,0
55000,31000,38000,15,0
60000,20500,103000,30,0
65000,22000,230000,20,0
88000,46500,217000,20,0
91000,42000,250000,15,0
58000,30000,80000,15,0
74000,29500,42000,10,0
139000,72500,516000,30,0
127000,57500,96000,15,0
88000,57500,352000,5,0
76000,32000,269000,30,0
79000,51000,72000,10,0
93000,42500,372000,10,0
44000,23500,146000,30,0
67000,28000,232000,20,0
25000,15500,83000,20,0
87000,55500,326000,20,0
94000,58500,296000,10,0
61000,34000,143000,5,0
122000,51500,61000,15,1
38000,21000,56000,15,0
31000,21000,81000,20,0
82000,46000,131000,5,0
106000,72500,205000,20,0
126000,53000,111000,10,0
61000,39000,240000,10,0
107000,63000,97000,15,0
74000,46500,55000,30,0
70000,41000,178000,30,0
102000,50000,273000,20,0
95000,54500,222000,20,0
28000,19000,49000,10,0
119000,55500,444000,10,0
116000,79000,197000,30,0
56000,18000,89000,10,0
87000,26500,331000,10,0
90000,45000,324000,20,0
83000,53000,180000,20,0
58000,23000,82000,5,0
55000,32000,52000,20,0
74000,38500,244000,30,0
110000,46000,335000,10,0
91000,37500,79000,15,0
64000,21000,198000,30,0
98000,50500,357000,15,0
20000,9500,14000,10,0
109000,45500,211000,10,0
23000,16000,44000,20,0
64000,40000,214000,30,0
41000,21000,38000,5,0
36000,18500,37000,5,0
110000,41500,202000,5,0
61000,34000,212000,10,0
85000,58000,336000,10,0
74000,49000,178000,10,0
89000,29500,94000,5,1
77000,24500,282000,10,0
